sample_id,qid,type,verdict,question,expected_answer,unit_id,location,unit_text,judge_span_or_reason,agree,auditor_note
S001,P29,audio_only,dropped,"In the conclusion, which kinds of real-world videos does Focus use in its evaluations, and according to the spoken takeaway, how many times faster than the state-of-the-art query-time-only solution is it?","Traffic, surveillance, and news videos; 162 times faster.",osdi18-hsieh:p15:t0,osdi18-hsieh.pdf p.15,"series of classiﬁers. Viola et al. [88] is the earliest work that cascades a series of classiﬁers (from the simplest to the most complicated) to quickly disregard regions in an image. Many improvements follow (e.g., [58, 91, 92]). CNNs are also cascaded (e.g., [29,43,56,83]) to reduce object detection latency. Our work is different in two major ways. First, we decouple the compressed CNN from the GT-CNN, which enables us to choose from a wider range of ingest-time CNNs and thus enables better trade-offs between ingest cost and query latency, a key aspect of our work. Second, we cluster similar objects using CNN features to eliminate redundant work, which is an effective technique for video streams. 2) Context-speciﬁc model specialization. Context- speciﬁc specialization of models can improve accu- racy [63] or speed up inference [43, 51, 75]. Among these, the closest to our work is NoScope [51]. No- Scope optimizes for the speciﬁed class at query-time using lightweight binary classiﬁers. In contrast, Focus’ architec- ture splits work between ingest and query times, leading to two orders of magnitude lower latency (§6). To achieve these gains, Focus uses techniques to index all possible classes at ingest-time, and thus can handle any class that will get queried in the future. Focus’ indexing is espe- cially effective for less frequent object classes, which is arguably of more interest for",judge: text states none of the reference facts,,
S002,P29,audio_only,dropped,"In the conclusion, which kinds of real-world videos does Focus use in its evaluations, and according to the spoken takeaway, how many times faster than the state-of-the-art query-time-only solution is it?","Traffic, surveillance, and news videos; 162 times faster.",osdi18-hsieh:p15:t1,osdi18-hsieh.pdf p.15,"To achieve these gains, Focus uses techniques to index all possible classes at ingest-time, and thus can handle any class that will get queried in the future. Focus’ indexing is espe- cially effective for less frequent object classes, which is arguably of more interest for video querying systems. 3) Stream processing systems. Systems for general stream data processing (e.g., [1,18,22,25,31,32,61,66,86, 87,95]) and speciﬁc to video stream analytics (e.g., [96]) mainly focus on general stream processing challenges such as load shedding, fault tolerance, distributed exe- cution, or limited network bandwidth. In contrast, our work is speciﬁc to querying on recorded video data with ingest and query trade-offs, and, thus, mostly orthogonal. Focus coud be integrated with one of these general stream processing systems. 4) Video indexing and retrieval. A large body of work in multimedia and information retrieval research proposes various content-based video indexing and retrieval tech- niques to facilitate queries on videos (e.g., [46,55,80,81]). Among them, most works focus on indexing videos for different types of queries, such as shot boundary detection (e.g., [94]), semantic video search (e.g., [33,37,41]), video classiﬁcation (e.g., [27]), spatio-temporal information- based video retrieval (e.g., [38,70]) or subsequence simi- larity search (e.g., [76,97]). Some works (e.g., [36,79]) focus on the query interface to enable querying by key- words, concepts, or examples. These works are largely orthogonal to our work because we",judge: text states none of the reference facts,,
S003,P29,audio_only,dropped,"In the conclusion, which kinds of real-world videos does Focus use in its evaluations, and according to the spoken takeaway, how many times faster than the state-of-the-art query-time-only solution is it?","Traffic, surveillance, and news videos; 162 times faster.",osdi18-hsieh:p15:t2,osdi18-hsieh.pdf p.15,"classiﬁcation (e.g., [27]), spatio-temporal information- based video retrieval (e.g., [38,70]) or subsequence simi- larity search (e.g., [76,97]). Some works (e.g., [36,79]) focus on the query interface to enable querying by key- words, concepts, or examples. These works are largely orthogonal to our work because we focus on reducing cost and latency of CNN-based video queries, not on creating an indexing structure for new query types or query inter- faces. We believe our approach of splitting ingest-time and query-time work can be extended to many different types of video queries (§7). 5) Database indexing. Using index structures to reduce query latency [77] is a commonly-used technique in con- ventional databases (e.g., [26,54]), key-value databases (e.g., [62]), similarity search (e.g., [39,40]), graph queries (e.g., [93]), genome analysis (e.g., [21, 89]), and many others. Our Ingest-heavy and Ingest-NoScope baselines are also examples that index all video frames at ingest time. While queries are naturally faster with these baselines, they are too costly and are potentially wasteful for large- scale videos. In contrast, our work offers new trade-off options between ingest cost and query latency by creating low-cost approximate indexes at ingest time and retaining high accuracy with little work at query time. 9. Conclusion Answering queries of the form, ﬁnd me frames that con- tain objects of class X, is an important workload on recorded video datasets. Such",judge: text states none of the reference facts,,
S004,P20,audio_only,dropped,"In the experimental setup, what video datasets were used, and according to the paper, what default accuracy target does the system use for each query on the eight representative videos?",11 live traffic and enterprise videos; 99% recall and 99% precision.,osdi18-hsieh:p11:t1,osdi18-hsieh.pdf p.11,"with Microsoft Cognitive Toolkit 2.4 [64], an open-source deep learning system. Our ingest processor (§5.1) stores the approximate index in MongoDB [11] for efﬁcient retrieval at query time. Video Datasets. We evaluate 14 video streams that span across trafﬁc cameras, surveillance cameras, and news channels. We record each video stream for 12 hours to cover both day time and night time. Table 1 summarizes the video characteristics. We strengthen our evaluation by including down sampling (or frame skipping), one of the most straightforward approaches to reduce ingest cost and query latency, into our evaluation baseline. Speciﬁcally, as the vast majority of objects show up for at least one second in our evaluated videos, we evaluate each video at 1 fps instead of 30 fps. We ﬁnd that the object detection results at these two frame rates are almost the same. Each video is split evenly into a training set and a test set. The training set is used to train video-specialized CNNs and select system parameters. We then evaluate the systems with the test set. In some ﬁgures, we show results for only eight representative videos to improve legibility. Accuracy Target. We use YOLOv2 [68], a state-of-the- art object detector CNN, as our ground-truth CNN (GT- CNN): all objects detected by GT-CNN are considered to be the correct answers.4 For each query, our default accuracy",judge: text states none of the reference facts,,
S005,P20,audio_only,kept,"In the experimental setup, what video datasets were used, and according to the paper, what default accuracy target does the system use for each query on the eight representative videos?",11 live traffic and enterprise videos; 99% recall and 99% precision.,osdi18_slides_hsieh:p21:t0,osdi18_slides_hsieh.pdf p.21,Experimental Setup • Video Datasets • 11 live traffic and enterprise videos • Each video stream is evaluated for 12 hours • Accuracy Targets • 99% recall and 99% precision w.r.t. YOLOv2 • Baselines • Ingest-heavy: Analyzes all frames with YOLOv2 at ingest time and stores the inverted index for query • NoScope [VLDB’17]: A query-optimized system that analyzes frames only at query time 21,11 live traffic and enterprise videos,,
S006,P12,dropped(audio_only),dropped,"According to the lecture, what does the no scope baseline do at query time, including the mentioned frame downsampling?","It does all the optimizations at query time, including frame downsampling, skipping, and CNN specialization.",hsieh:a32,hsieh.mp3 14:09-14:34,"And the other baseline is no scope, that does all these optimizations that I mentioned, frame downsampling, skipping, CNN specialization, and does all the work at the query time. So let's first look at end to end performance. So here, I plot the results with X axis as the ingest cost, and the Y axis is the query latency. Obviously, the smaller is better.",judge: text states none of the reference facts,,
S007,P18,dropped(cross_modal_split),dropped,"In the Figure 10 discussion of representative static camera performance, what is the Avg speedup factor shown on the slide deck for Approximate indexing + Clustering, and according to the paper what kind of CNNs are the Focus techniques said to apply to?",89x; object detection CNNs,osdi18-hsieh:p13:t3,osdi18-hsieh.pdf p.13,"system (NoScope). On the other hand, Focus-Opt-Query reduces query latency even more (by 698×) but it is still 53× cheaper than Ingest-heavy. As these points in the design space are all good options compared to the base- lines, such ﬂexibility enables a user to tailor Focus for different contexts. For example, a camera that requires fast turnaround time for queries can use Focus-Opt-Query, while a video stream that will be queried rarely would choose Focus-Opt-Ingest to reduce the amount of wasted ingest cost in exchange for longer query latencies. Figure 12 shows the (I,Q) values for both Focus-Opt- Ingest (Opt-I) and Focus-Opt-Query (Opt-Q) for the repre- sentative videos. As the ﬁgure shows, the ﬂexibility to make different trade-offs exists in most other videos. On average, Focus-Opt-Ingest is 65× (up to 96×) cheaper than Ingest-heavy in ingest cost while providing 100× (up to 443×) faster queries. Focus-Opt-Query makes queries 202× (up to 698×) faster with a higher ingest cost (53× cheaper than Ingest-heavy). Note that there is no funda- mental limitation on the spread between Focus-Opt-Query and Focus-Opt-Ingest as we can expand the search space for ingest-time CNNs to further optimize ingest cost at the expense of query latency (or vice versa). We conclude that Focus enables ﬂexibly optimizing for ingest cost or query latency for application’s needs. 280 13th USENIX Symposium on Operating Systems Design",judge: text states none of the reference facts,,
S008,P18,dropped(cross_modal_split),dropped,"In the Figure 10 discussion of representative static camera performance, what is the Avg speedup factor shown on the slide deck for Approximate indexing + Clustering, and according to the paper what kind of CNNs are the Focus techniques said to apply to?",89x; object detection CNNs,osdi18-hsieh:p13:t1,osdi18-hsieh.pdf p.13,"query latency improvement. This is because approxi- mate indexing effectively eliminates irrelevant objects for each query and bypasses the query-time veriﬁcation for high-conﬁdence ingest predictions. As a result, only a small fraction of frames need to be resolved at query time. On average, approximate indexing alone is 114× faster than NoScope in query latency. Second, clustering is a very effective technique to fur- ther reduce query latency. Using clustering (on top of ap- proximate indexing) reduces the query latency by 195×, signiﬁcantly better than approximate indexing alone. We see that clustering is especially effective on surveillance videos (e.g., coral, lausanne, and oxford) because ob- jects in these videos tend to stay longer in the camera (e.g., “person” on a plaza compared to “car” in trafﬁc videos), and hence there is more redundancy in these videos. This gain comes with a negligible cost because we run our clustering algorithm (§4.3) on the otherwise idle CPUs of the ingest machine while the GPUs run the ingest-time CNN model. 6.4. Ingest Cost vs. Query Latency Trade-off One of the important features of Focus is the ﬂexibility to tune its system parameters to achieve different appli- cation goals (§4.4). Figure 11 (the zoom-in region of Figure 1) depicts three alternative settings for Focus that il- lustrate the trade-off space between ingest cost and query latency, using the oxford video",judge: text states none of the reference facts,,
S009,P17,dropped(cross_modal_split),dropped,"In the takeaways, what speedup over state-of-the-art query-time-only solutions is reported, and in §4.1 of the usenix paper what example cheap ingest-time CNN architectures are mentioned for classiﬁcation?",162X (up to 607X) faster; YOLO and Faster RCNN.,osdi18-hsieh:p6:c0,osdi18-hsieh.pdf p.6,Figure 4: Overview of Focus.,judge: text states none of the reference facts,,
S010,P18,dropped(cross_modal_split),dropped,"In the Figure 10 discussion of representative static camera performance, what is the Avg speedup factor shown on the slide deck for Approximate indexing + Clustering, and according to the paper what kind of CNNs are the Focus techniques said to apply to?",89x; object detection CNNs,osdi18-hsieh:p13:t4,osdi18-hsieh.pdf p.13,expand the search space for ingest-time CNNs to further optimize ingest cost at the expense of query latency (or vice versa). We conclude that Focus enables ﬂexibly optimizing for ingest cost or query latency for application’s needs. 280 13th USENIX Symposium on Operating Systems Design and Implementation USENIX Association,judge: text states none of the reference facts,,
